sival,alval,naval,h20,mag,ohval,time,temper,code1,code2,code3
0.039500231,0.006076959,0.023821678,0.911543791,0,0.019057342,336,100,FAU,,
0.02008502,0.007800008,0.02008502,0.935961936,0,0.016068016,168,50,FAU,,
0.031919308,0.000159597,0.005745475,0.95757924,0,0.00459638,65,160,MFI,,
0.031882672,0.000159413,0.006376534,0.956480153,0,0.005101227,65,160,MFI,,
0.031882672,0.000159413,0.006376534,0.956480153,0,0.005101227,112,160,MFI,,
0.03184612,0.000159231,0.007006146,0.955383587,0,0.005604917,65,160,MFI,,
0.03184612,0.000159231,0.007006146,0.955383587,0,0.005604917,112,160,MFI,,
0.031856772,0.00039821,0.006689922,0.955703159,0,0.005351938,65,160,MFI,,
0.031765696,0.000397071,0.008259081,0.952970887,0,0.006607265,65,160,MFI,,
0.087108014,0.017421603,0.055749129,0.783972125,0,0.055749129,336,120,FAU,,
0.067340067,0.013468013,0.005050505,0.909090909,0,0.005050505,72,100,FAU,EMT,
0.015180957,0.010019432,0.035523439,0.91085742,0,0.028418752,60,60,FAU,,
0.170299728,0.11239782,0.398501362,0,0,0.31880109,192,60,FAU,GIS,
0.004142502,0.001657001,0.082850041,0.828500414,0,0.082850041,11.5,65,LTA,,
0.004516712,0.001806685,0.045167118,0.903342367,0,0.045167118,12,65,LTA,,
0.063694268,0.010615711,0.042462845,0.8492569,0,0.033970276,72,100,FAU,,
0.013438459,0.013954786,0.044166899,0.893106335,0,0.035333519,3.5,99,LTA,,
0.046728972,0.009345794,0.051401869,0.841121495,0,0.051401869,24,150,FAU,,
0.028295213,0.000235793,0.015719563,0.94317378,0,0.01257565,12,180,MFI,,
0.022522523,0.004504505,0.036036036,0.900900901,0,0.036036036,12,100,FAU,,
0.031824836,0.002545987,0.006046719,0.954745083,0,0.004837375,40,190,MFI,,
0.03175692,0.001816496,0.007621661,0.952707595,0,0.006097329,40,190,MFI,,
0.02562028,0.001348436,0.01618123,0.94390507,0,0.012944984,48,180,MFI,,
0.016722408,0.016722408,0.065217391,0.836120401,0,0.065217391,1.5,80,LTA,,
0.016722408,0.016722408,0.065217391,0.836120401,0,0.065217391,2,80,LTA,,
0.016722408,0.016722408,0.065217391,0.836120401,0,0.065217391,3,80,LTA,,
0.016722408,0.016722408,0.065217391,0.836120401,0,0.065217391,4,80,LTA,,
0.018789356,0.011273614,0.050782043,0.878529352,0,0.040625635,168,100,FAU,GIS,SOD
0.023191328,0.013864381,0.050415931,0.872195614,0,0.040332745,24,100,FAU,LTA,
0.023191328,0.013864381,0.050415931,0.872195614,0,0.040332745,72,100,FAU,LTA,GIS
0.0135038,0.005802013,0.051345245,0.888272746,0,0.041076196,24,100,FAU,,
0.01182945,0.00581186,0.051432392,0.889780384,0,0.041145914,72,100,FAU,GIS,SOD
0.018913255,0.004753872,0.051116904,0.884322445,0,0.040893523,24,100,FAU,GIS,
0.03718025,0.015962721,0.049573666,0.85762443,0,0.039658933,24,100,FAU,GIS,
0.040745342,0.010186335,0.049689441,0.859627329,0,0.039751553,24,100,FAU,,
0.040745342,0.010186335,0.049689441,0.859627329,0,0.039751553,72,100,FAU,GIS,
0.059640203,0.006648416,0.048885413,0.845717638,0,0.03910833,168,100,FAU,GIS,
0.022001232,0.001144064,0.004400246,0.968054211,0,0.004400246,48,160,CHA,,
0.037625953,0.00158059,0.011301221,0.940451259,0,0.009040977,96,180,MFI,,
0.004366812,0.004366812,0.065502183,0.873362445,0,0.052401747,16,40,LTA,,
0.004366812,0.004366812,0.065502183,0.873362445,0,0.052401747,18,40,LTA,,
0.004366812,0.004366812,0.065502183,0.873362445,0,0.052401747,20,40,LTA,,
0.004366812,0.004366812,0.065502183,0.873362445,0,0.052401747,30,40,LTA,,
0.008688097,0.00086881,0.060816681,0.868809731,0,0.060816681,24,75,FAU,,
0.004297748,0.001719099,0.08423586,0.842358604,0,0.067388688,3,85,LTA,,
0.021730011,0.008389966,0,0.939676147,0.016779931,0.013423945,96,97,CHA,,
0.00747677,0.010312787,0.038580136,0.905050172,0,0.038580136,6,80,LTA,,
0.028213166,0.012539185,0.056426332,0.846394984,0,0.056426332,24,90,FAU,,
0.024053881,0.000801796,0.007216164,0.962155228,0,0.005772931,120,160,MFI,,
0.04492363,0.008984726,0.076370171,0.808625337,0,0.061096137,48,70,FAU,,
0.043995108,0.006159315,0.079191194,0.791911939,0,0.078742444,50,50,FAU,,
0.029949087,0.001996606,0.006488969,0.956374164,0,0.005191175,36,170,MFI,,
0.04316671,0.007165674,0.04316671,0.863334197,0,0.04316671,24,100,FAU,,
0.058102001,0.006455778,0.007811491,0.903808909,0.008005165,0.015816656,120,180,MOR,,
0.34416826,0.038240918,0.046271511,0.430210325,0.047418738,0.093690249,168,180,MOR,,
0.02082094,0.01189768,0.04164188,0.892325996,0,0.033313504,48,90,FAU,,
0.022956841,0.009182736,0.027548209,0.918273646,0,0.022038567,12,100,FAU,,
0.015230394,0.013845813,0.076151972,0.844594595,0.022845591,0.027331635,5,100,FAU,,
0.010851872,0.002712968,0.046120456,0.90341834,0,0.036896365,8,90,FAU,,
0.007526663,0.003763332,0.116061147,0.779799941,0,0.092848917,2,100,LTA,,
0.014118846,0.001699019,0.096504269,0.810474451,0,0.077203415,24,80,FAU,,
0.03776435,0.003021148,0.00755287,0.944108761,0,0.00755287,48,180,MFI,,
0.031210986,0.001248439,0,0.936329588,0.031210986,0,72,180,MFI,,
0.012110629,0.005632851,0.042809666,0.905199121,0,0.034247733,48,100,FAU,,
0.004142502,0.001657001,0.082850041,0.828500414,0,0.082850041,4,65,LTA,,
0.009090909,0.009090909,0.036363636,0.909090909,0,0.036363636,24,50,LTA,,
